,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
2394242,sg:ead8c33af6ef491e93c60f5d3e738eab,GameStop,NH,3106,451120.0,22,10.0,"{""<5"":2,""5-20"":18,""21-60"":2,""61-240"":0,"">240"":0}",43.048404,-71.45948800000001,NH,33.0,33013.0,Merrimack County,330130030013.0
2394333,sg:edc89291ed0f4d9492d3c19d3d598a94,Suds N' Soda,NH,3840,451110.0,4,8.0,"{""<5"":0,""5-20"":4,""21-60"":0,""61-240"":0,"">240"":0}",43.040632,-70.827287,NH,33.0,33015.0,Rockingham County,330151075003.0
2394336,sg:edcca93f468c40068dedd35c18318626,Bluebird Self Storage,NH,3840,531130.0,7,31.0,"{""<5"":0,""5-20"":2,""21-60"":4,""61-240"":1,"">240"":0}",43.044333,-70.81702800000001,NH,33.0,33015.0,Rockingham County,330151075002.0
2394404,sg:f0add7493d974389ae4efd4d532abee0,Renner Richard,NH,3878,621111.0,11,211.0,"{""<5"":1,""5-20"":2,""21-60"":2,""61-240"":1,"">240"":5}",43.25253,-70.898089,NH,33.0,33017.0,Strafford County,330170830021.0
2394801,sg:ff71ba821232465882af3bdb22625ee3,United States Postal Service (USPS),NH,3278,491110.0,7,9.0,"{""<5"":1,""5-20"":5,""21-60"":1,""61-240"":0,"">240"":0}",43.279244,-71.813588,NH,33.0,33013.0,Merrimack County,330130385001.0
2394810,sg:ffe057f8832544c0a061a27a3e433e06,Mending Massage,NH,3060,812199.0,6,58.0,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":2,"">240"":1}",42.758635,-71.473106,NH,33.0,33011.0,Hillsborough County,330110108001.0
2394912,sg:035b083cc9e247c1aa9c90fde9751b73,Three Rivers School,NH,3275,611110.0,5,19.0,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":1,"">240"":0}",43.145641,-71.451032,NH,33.0,33013.0,Merrimack County,330130032005.0
2395279,sg:0fbe231b960947aaa66c979e238cb8e1,Marshall's Flowers & Gift,NH,3303,453110.0,5,11.0,"{""<5"":1,""5-20"":2,""21-60"":1,""61-240"":0,"">240"":1}",43.310625,-71.615499,NH,33.0,33013.0,Merrimack County,330130380003.0
2395335,sg:11ca16f0c5e842c8a4b255b1d6177958,Police Department,NH,3054,922120.0,11,488.0,"{""<5"":0,""5-20"":4,""21-60"":0,""61-240"":0,"">240"":7}",42.867968,-71.498372,NH,33.0,33011.0,Hillsborough County,330110141002.0
2395491,sg:16c8e85a62ba445d8110376aa88a12fa,Keith Zimmermann DC,NH,3103,621310.0,3,211.0,"{""<5"":1,""5-20"":0,""21-60"":0,""61-240"":1,"">240"":1}",42.987674,-71.433791,NH,33.0,33011.0,Hillsborough County,330110012002.0
2395592,sg:1a57f96099f442a28625e7fd1069962f,Blink's Fry Doe,NH,3842,722515.0,17,25.0,"{""<5"":0,""5-20"":7,""21-60"":4,""61-240"":4,"">240"":2}",42.907655,-70.811562,NH,33.0,33015.0,Rockingham County,330150650083.0
2395616,sg:1b3e6f87ca42425ba436f5de9aba135f,Clubhouse Day Care,NH,3820,624410.0,17,92.0,"{""<5"":1,""5-20"":0,""21-60"":5,""61-240"":4,"">240"":7}",43.191424,-70.87635300000001,NH,33.0,33017.0,Strafford County,330170813001.0
2395674,sg:1d6666cfc1484dae9edc05e538457737,Weeks Memorial Library,NH,3584,519120.0,8,120.5,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":3,"">240"":2}",44.491007,-71.570763,NH,33.0,33007.0,Coos County,330079505002.0
2395896,sg:255fb1ce30d943c7b8812e8b0a3c4713,Pride'n Groom,NH,3222,453910.0,1,10.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",43.574307,-71.770708,NH,33.0,33009.0,Grafton County,330099613001.0
2395932,sg:26a655c33efa4e1fa47fe96a4e82ab1a,Alvarenga Robt A DMD,NH,3766,621210.0,2,7.5,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":0}",43.641914,-72.250294,NH,33.0,33009.0,Grafton County,330099618002.0
2396368,sg:3549590dcd244c329e6530d5b4ccf78a,F & F Psychiatric Associates,NH,3301,621330.0,1,163.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":1,"">240"":0}",43.205177,-71.54039300000001,NH,33.0,33013.0,Merrimack County,330130323001.0
