,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
19145,sg:96971964ec3f4fd0bf2e30ddea99603a,Stonybrook Gun & Rod Club,RI,2865,452319.0,9,56.0,"{""<5"":0,""5-20"":1,""21-60"":4,""61-240"":2,"">240"":2}",41.905656,-71.405437,RI,44.0,44007.0,Providence County,440070117012.0
19534,sg:a583cc2ab25445e89fb45634e56b4bde,Little Red Schoolhouse,RI,2915,624410.0,27,58.0,"{""<5"":2,""5-20"":7,""21-60"":5,""61-240"":6,"">240"":7}",41.773745,-71.36144,RI,44.0,44007.0,Providence County,440070106002.0
19683,sg:aa3d2a586fc04cdcb1704cfe3ac30503,Ministerios Llamada Final,RI,2909,813110.0,2,103.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":1,"">240"":0}",41.815473,-71.445178,RI,44.0,44007.0,Providence County,440070016002.0
20001,sg:b69b73a085654173a45667e157b996be,Inner Love and Light Holy Fire Usui Reiki Master,RI,2888,812199.0,3,58.0,"{""<5"":0,""5-20"":1,""21-60"":1,""61-240"":1,"">240"":0}",41.737687,-71.406748,RI,44.0,44003.0,Kent County,440030213004.0
20107,sg:bafb8d67485b4c8d9994593ea54592a9,Albertino's,RI,2910,722511.0,2,9.5,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":0}",41.782857,-71.445299,RI,44.0,44007.0,Providence County,440070140003.0
20134,sg:bc0ce3cc789145b8949b518c57bfde28,Empire Guitars,RI,2904,451140.0,7,31.0,"{""<5"":0,""5-20"":1,""21-60"":3,""61-240"":3,"">240"":0}",41.854946000000005,-71.399938,RI,44.0,44007.0,Providence County,440070033001.0
21653,sg:f3a2d246f0fe41029b2c0a7a50090950,Planet Fitness,RI,2816,713940.0,16,12.5,"{""<5"":0,""5-20"":12,""21-60"":3,""61-240"":1,"">240"":0}",41.691973,-71.554855,RI,44.0,44003.0,Kent County,440030206021.0
21767,sg:f77dda3ac3af4b6da03ac6a47ac3b3e6,Speedy Pizza,RI,2911,722511.0,7,11.0,"{""<5"":0,""5-20"":6,""21-60"":0,""61-240"":1,"">240"":0}",41.857867,-71.484091,RI,44.0,44007.0,Providence County,440070121041.0
22395,sg:0d3680815e9c4ece847ae71c4fa45d10,Apponaug Optical,RI,2886,446130.0,6,29.0,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":0,"">240"":2}",41.699619,-71.44566,RI,44.0,44003.0,Kent County,440030219033.0
22398,sg:0d3a948681eb4504a178bbe58faae67e,Asco Group Inc,RI,2816,811192.0,13,8.0,"{""<5"":3,""5-20"":9,""21-60"":1,""61-240"":0,"">240"":0}",41.685660999999996,-71.587378,RI,44.0,44003.0,Kent County,440030206022.0
